City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Nelson Bay,AU,-32.7167,152.15,66.09,96,100,3.0,light rain
79,Rikitea,PF,-23.1203,-134.9692,76.28,75,6,12.77,clear sky
80,Dikson,RU,73.5069,80.5464,-4.25,95,100,3.85,overcast clouds
81,Bonthe,SL,7.5264,-12.505,80.85,83,34,7.47,scattered clouds
82,Severo-Kurilsk,RU,50.6789,156.125,35.37,87,100,6.8,overcast clouds
83,Kodiak,US,57.79,-152.4072,18.91,58,20,28.77,volcanic ash
84,Sechura,PE,-5.5569,-80.8222,76.28,61,82,16.62,broken clouds
85,Geraldton,AU,-28.7667,114.6,61.21,59,0,6.91,clear sky
86,Boa Vista,BR,2.8197,-60.6733,91.38,49,20,4.61,few clouds
87,Arman,RU,59.7,150.1667,-3.89,81,16,12.44,few clouds
88,Chulman,RU,56.8479,124.9104,-8.0,99,100,1.12,overcast clouds
89,Belmonte,BR,-15.8631,-38.8828,75.7,78,64,9.89,broken clouds
90,Port Hedland,AU,-20.3167,118.5667,69.85,78,16,5.75,few clouds
91,Georgetown,MY,5.4112,100.3354,78.73,90,20,0.0,few clouds
92,Kroya,ID,-7.6331,109.2461,77.67,84,92,2.26,overcast clouds
93,Iturama,BR,-19.7281,-50.1956,87.12,43,20,9.6,few clouds
94,Tres Arroyos,AR,-38.3739,-60.2798,79.2,41,83,8.88,broken clouds
95,Butaritari,KI,3.0707,172.7902,82.69,72,84,16.15,broken clouds
96,San Rafael,AR,-34.6177,-68.3301,85.23,20,0,9.26,clear sky
97,Kumluca,TR,36.3703,30.2869,55.67,73,8,4.18,clear sky
98,Saldanha,ZA,-33.0117,17.9442,68.76,51,0,17.9,clear sky
99,San Patricio,US,28.017,-97.5169,60.66,65,100,20.11,heavy intensity rain
100,Joshimath,IN,30.5667,79.5667,45.79,28,0,7.11,clear sky
101,Pingliang,CN,35.5392,106.6861,36.18,32,9,3.29,clear sky
102,Bilibino,RU,68.0546,166.4372,-25.49,99,98,3.36,overcast clouds
103,Sobolevo,RU,54.4299,31.8996,31.23,87,36,15.48,scattered clouds
104,Saint-Philippe,RE,-21.3585,55.7679,78.39,83,53,4.56,broken clouds
105,Bayburt,TR,40.2589,40.2278,36.01,99,100,1.52,light rain
106,Kaitangata,NZ,-46.2817,169.8464,56.07,67,100,2.48,moderate rain
107,Aasiaat,GL,68.7098,-52.8699,15.87,84,99,8.84,overcast clouds
108,Tobermory,CA,45.2501,-81.6665,36.3,95,100,15.05,overcast clouds
109,Kota Belud,MY,6.351,116.4305,75.06,89,100,3.76,overcast clouds
110,Dandong,CN,40.1292,124.3947,29.41,58,99,4.29,overcast clouds
111,Yellowknife,CA,62.456,-114.3525,10.42,87,90,16.11,light snow
112,Bengkulu,ID,-3.8004,102.2655,77.7,82,99,3.31,overcast clouds
113,Souillac,MU,-20.5167,57.5167,73.36,74,0,2.08,clear sky
114,Vilyuysk,RU,63.7553,121.6247,-0.92,95,100,3.33,overcast clouds
115,Alta Floresta,BR,-9.8756,-56.0861,79.65,87,91,1.59,overcast clouds
116,Nikki,BJ,9.9401,3.2108,79.23,29,6,3.67,clear sky
117,Tasiilaq,GL,65.6145,-37.6368,32.16,55,2,9.57,clear sky
118,Dali,CN,25.7,100.1833,42.04,84,0,1.52,clear sky
119,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,78,0,16.11,clear sky
120,Atuona,PF,-9.8,-139.0333,78.48,80,12,18.5,light rain
121,Yeppoon,AU,-23.1333,150.7333,73.18,82,100,5.01,overcast clouds
122,Bredasdorp,ZA,-34.5322,20.0403,63.28,75,11,24.9,few clouds
123,Stykkisholmur,IS,65.0757,-22.7297,28.56,72,52,14.25,broken clouds
124,Chiredzi,ZW,-21.05,31.6667,73.18,57,100,10.58,overcast clouds
125,Great Yarmouth,GB,52.6083,1.7305,39.45,74,100,17.83,overcast clouds
126,Bluff,NZ,-46.6,168.3333,52.38,94,100,11.43,overcast clouds
127,Lompoc,US,34.6391,-120.4579,78.1,39,1,7.0,clear sky
128,Erzin,TR,36.9559,36.2,56.12,88,100,3.33,overcast clouds
129,Svetlyy,RU,54.675,20.1347,39.25,72,100,18.52,overcast clouds
130,Ojinaga,MX,29.5667,-104.4167,66.42,29,1,17.27,clear sky
131,Maarianhamina,AX,60.0973,19.9348,33.66,69,20,8.05,few clouds
132,Tonstad,NO,58.6626,6.7169,38.35,76,100,8.19,overcast clouds
133,Palu,ID,-0.8917,119.8707,75.81,93,100,3.09,overcast clouds
134,Khatanga,RU,71.9667,102.5,-19.55,100,98,3.11,overcast clouds
135,Balkhash,KZ,46.844,74.9804,25.3,64,45,20.2,scattered clouds
136,Tautira,PF,-17.7333,-149.15,84.22,77,32,16.49,scattered clouds
137,Falam,MM,22.9167,93.6833,48.47,86,1,2.51,clear sky
138,Kruisfontein,ZA,-34.0033,24.7314,61.88,80,100,18.99,overcast clouds
139,Cabedelo,BR,-6.9811,-34.8339,81.27,74,31,10.18,scattered clouds
140,Pafos,CY,34.7667,32.4167,58.91,82,20,8.05,few clouds
141,Mount Isa,AU,-20.7333,139.5,67.77,68,40,4.61,scattered clouds
142,Puerto Del Rosario,ES,28.5004,-13.8627,67.75,64,20,9.22,few clouds
143,Saint George,US,37.1041,-113.5841,59.34,21,1,4.0,clear sky
144,Rincon,US,32.296,-81.2354,69.98,58,75,6.91,broken clouds
145,Constitucion,CL,-35.3333,-72.4167,65.97,58,12,18.32,few clouds
146,Abalak,RU,58.1286,68.5944,2.35,97,39,5.21,scattered clouds
147,La Paz,BO,-16.5,-68.15,53.58,76,75,8.05,broken clouds
148,Hofn,IS,64.2539,-15.2082,30.65,61,0,30.27,clear sky
149,Cotonou,BJ,6.3654,2.4183,82.51,79,13,11.72,few clouds
150,Jamestown,US,42.097,-79.2353,44.19,92,90,5.01,overcast clouds
151,Rawson,AR,-43.3002,-65.1023,65.71,45,22,14.63,few clouds
152,Mehran,IR,33.1222,46.1646,67.08,39,97,2.73,overcast clouds
153,Pevek,RU,69.7008,170.3133,-12.26,99,100,1.32,overcast clouds
154,Kudahuvadhoo,MV,2.6708,72.8944,80.82,71,99,14.38,overcast clouds
155,Sangar,RU,63.9242,127.4739,-11.6,88,100,6.38,overcast clouds
156,Galveston,US,29.3669,-94.9669,67.96,92,100,1.99,light rain
157,Helong,CN,42.5397,128.9972,17.6,70,99,5.26,overcast clouds
158,Kasongo-Lunda,CD,-6.4667,16.8167,68.47,98,96,1.03,overcast clouds
159,Chumikan,RU,54.7183,135.315,10.53,91,93,6.29,overcast clouds
160,Paita,PE,-5.0892,-81.1144,75.76,78,76,16.31,broken clouds
161,Araguacu,BR,-12.9306,-49.8264,83.17,72,97,2.13,overcast clouds
162,Korla,CN,41.7597,86.1469,28.18,54,9,3.06,clear sky
163,Bo Rai,TH,12.5728,102.5371,71.83,91,93,6.15,overcast clouds
