City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
312,Samarai,PG,83.5,overcast clouds,-10.6167,150.6667,Nuli Sapi
314,Mareeba,AU,74.44,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
315,Lorengau,PG,81.63,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
319,Paraiso,CR,71.96,overcast clouds,9.8383,-83.8656,Hotel Rinconcito Verde
329,Honiara,SB,80.6,overcast clouds,-9.4333,159.95,Heritage Park Hotel
330,Port-Gentil,GA,80.26,overcast clouds,-0.7193,8.7815,Fengshui Residence
333,Ca Mau,VN,73.45,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
337,Cayenne,GF,82.44,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
340,Gemena,CD,73.42,clear sky,3.25,19.7667,Hôtel Goshen
345,Akyab,MM,73.36,clear sky,20.15,92.9,Hotel Memory
346,Vila Do Maio,CV,77.79,overcast clouds,15.1333,-23.2167,Hotel Marilu
349,Moron,AR,72.0,overcast clouds,-34.6534,-58.6198,Hotel Morón
350,Half Moon Bay,US,71.49,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
354,Ternate,ID,79.47,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
355,Estelle,US,77.0,overcast clouds,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
356,Imbituba,BR,75.09,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
360,Hithadhoo,MV,81.32,overcast clouds,-0.6,73.0833,Scoop Guest House
364,Los Algarrobos,PA,83.46,broken clouds,8.5,-82.4333,Waterfall Hostel
365,Barahona,DO,85.82,broken clouds,18.2085,-71.1008,Hotel Caribe
366,Gurupa,BR,82.65,moderate rain,-1.405,-51.64,Hotel Vitória
367,Cockburn Town,TC,78.76,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
369,Muisne,EC,74.5,overcast clouds,0.6,-80.0333,Quinta Samay
373,Acari,PE,75.36,overcast clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
379,Faanui,PF,82.35,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
381,Bilma,NE,77.83,clear sky,18.6853,12.9164,Expeditions Ténére voyages
384,Caravelas,BR,73.98,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
385,Puerto Narino,CO,87.75,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
389,El Arenal,MX,79.93,scattered clouds,20.7833,-103.7,Hotel el campesino
390,Moranbah,AU,74.97,light rain,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
393,Sao Filipe,CV,78.33,broken clouds,14.8961,-24.4956,Hotel Xaguate
394,Mlonggo,ID,73.53,overcast clouds,-6.5333,110.7,Asia Metal Art
395,Sao Gabriel Da Cachoeira,BR,81.84,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
398,Abu Dhabi,AE,77.97,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
400,Miracema Do Tocantins,BR,76.17,overcast clouds,-9.5618,-48.3967,Miami Apart Hotel
401,Moerai,PF,76.48,light rain,-22.4333,-151.3333,Le Manotel
404,Sungairaya,ID,78.66,overcast clouds,0.7,108.9,Mess P.Milu
407,Bathsheba,BB,81.37,broken clouds,13.2167,-59.5167,Atlantis Hotel
409,Omboue,GA,77.97,overcast clouds,-1.5746,9.2618,Hotel Olako
411,Bambous Virieux,MU,72.21,clear sky,-20.3428,57.7575,Casa Tia Villa
412,Denpasar,ID,76.71,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
419,Saint-Joseph,RE,77.38,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
420,Ixtapa,MX,83.43,broken clouds,20.7,-105.2,Hotel Plaza Providencia
421,Port Blair,IN,78.13,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
422,Gweta,BW,77.25,few clouds,-20.1833,25.2333,Gweta Lodge
425,Nampula,MZ,71.96,overcast clouds,-15.1165,39.2666,BUTIK Hotel
434,Rosarito,MX,79.39,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
435,Bandarbeyla,SO,78.94,light rain,9.4942,50.8122,JABIR HOTEL
438,Colombo,LK,77.83,overcast clouds,6.9319,79.8478,Galle Face Hotel
439,Zabid,YE,80.38,clear sky,14.1951,43.3152,مغرب التريبه
444,Kieta,PG,82.15,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
445,Isangel,VU,82.51,scattered clouds,-19.55,169.2667,Tanna Lodge
448,Dubti,ET,81.72,clear sky,11.7361,41.0853,degu Shiferaw
451,Quang Ngai,VN,71.37,moderate rain,15.1167,108.8,Central Hotel
453,Vaitape,PF,82.35,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
455,Coffs Harbour,AU,73.36,light intensity shower rain,-30.3,153.1333,Aquajet Motel
456,Wewak,PG,77.58,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
457,Sao Jose De Ribamar,BR,84.58,overcast clouds,-2.5619,-44.0542,Mediterrânea Hotel e Restaurante
459,Vega De Alatorre,MX,77.79,few clouds,20.0333,-96.6333,El Polo Norte
462,Kalmunai,LK,77.4,overcast clouds,7.4167,81.8167,VS Villa
463,Formosa,AR,80.58,broken clouds,-26.1775,-58.1781,Hotel Portal del Sol
465,Tabuk,PH,71.44,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
466,Bambari,CF,76.51,few clouds,5.768,20.6757,Hotel-Restaurant BIBICH
468,Inirida,CO,80.06,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
472,Inhambane,MZ,70.52,clear sky,-23.865,35.3833,Oceano
477,Karwar,IN,77.11,light rain,14.8,74.1333,Netalco Connects
479,Natal,BR,83.05,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
481,Kokoda,PG,76.12,overcast clouds,-8.8785,147.7407,Daito Guest House
482,Aracati,BR,81.3,few clouds,-4.5617,-37.7697,Motel Pousada Milleniun - Aracati-CE
484,Valparaiso,CL,80.83,clear sky,-33.0393,-71.6273,Hotel Ultramar
487,Bubaque,GW,83.46,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
490,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
493,Toumodi,CI,79.99,scattered clouds,6.5613,-5.0158,Hotel Akanza
495,Grand Gaube,MU,72.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
499,Meulaboh,ID,77.05,overcast clouds,4.1363,96.1285,Kost Pria
500,Puerto Baquerizo Moreno,EC,74.39,broken clouds,-0.9,-89.6,Hotel los Algarrobos
501,Matara,LK,75.06,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
502,Cidreira,BR,70.29,heavy intensity rain,-30.1811,-50.2056,Hotel Castelo
503,Jalu,LY,71.06,clear sky,29.0331,21.5482,صاحبة الفخامة
505,Nzerekore,GN,73.98,clear sky,7.7562,-8.8179,Hotel de la Gare & Germanho Club
507,Trincomalee,LK,80.37,overcast clouds,8.5711,81.2335,Welcombe Hotel
511,Harper,LR,80.33,broken clouds,4.375,-7.7169,Screensaver
517,Porto Novo,BJ,84.02,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
518,Jaumave,MX,74.48,few clouds,23.4167,-99.3833,HOTEL CIENEGA
519,Neiafu,TO,84.88,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
522,Pedra,BR,84.34,scattered clouds,-8.4969,-36.9408,Pousada Oceanus
523,Singarayakonda,IN,78.06,overcast clouds,15.25,80.0333,srinu tiffen center
524,Codajas,BR,86.13,overcast clouds,-3.8367,-62.0569,Atlântic Hotel
525,Yucaipa,US,70.27,clear sky,34.0336,-117.0431,Yucaipa Regional Park
528,Balabac,PH,79.81,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
529,Anloga,GH,82.8,scattered clouds,5.7947,0.8973,Pin Drop Hotel
530,Qui Nhon,VN,73.49,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
532,Pedra Branca,BR,87.21,broken clouds,-5.4542,-39.7172,Chácara Verçoza
534,Ghanzi,BW,81.19,clear sky,-21.5667,21.7833,Ghanzi Farmhouse
535,Zaraza,VE,84.11,overcast clouds,9.3503,-65.3245,Hotel Zaraza
537,Alofi,NU,82.29,light rain,-19.0595,-169.9187,Taloa Heights
538,Piacabucu,BR,80.1,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
539,Santa Maria La Alta,MX,72.14,clear sky,18.6,-97.6667,Hotel linda vista
545,Talara,PE,75.96,clear sky,-4.5772,-81.2719,Hostal Oro Negro
548,George Town,MY,78.73,scattered clouds,5.4112,100.3354,Cititel Penang
552,Mairana,BO,70.36,broken clouds,-18.1167,-63.9333,Mi Terruño
553,Cap Malheureux,MU,73.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
556,Puri,IN,72.12,few clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
559,Coahuayana,MX,92.68,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
560,Canutama,BR,89.02,moderate rain,-6.5339,-64.3831,Hotel Jhennifer
561,Santa Cruz,BO,86.05,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
566,Caucaia,BR,85.06,clear sky,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
568,Nouadhibou,MR,76.98,few clouds,20.931,-17.0347,El Medina
574,Kloulklubed,PW,83.64,broken clouds,7.0419,134.2556,Storyboard Beach Resort
576,Oussouye,SN,80.78,overcast clouds,12.485,-16.5469,Auberge du Routard
579,Vanimo,PG,76.3,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
581,Bartica,GY,80.92,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
584,Puerto Carreno,CO,85.95,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
587,Beberibe,BR,85.15,scattered clouds,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
588,Baracoa,CU,77.14,overcast clouds,20.3467,-74.4958,Hostal Rio Miel
596,Barreirinhas,BR,81.68,overcast clouds,-2.7469,-42.8264,Gran Lençóis Flat Residence
597,San Lorenzo,PY,76.59,thunderstorm,-25.3333,-57.5333,Hotel del Sur
600,Sahuaripa,MX,75.7,broken clouds,29.05,-109.2333,Estatua de Sahuaripa
602,Mongagua,BR,85.03,few clouds,-24.0931,-46.6208,Hostel Aloha Brasil
605,Bowen,AU,77.34,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
606,Nautla,MX,77.63,clear sky,20.2167,-96.7833,Casa Blanca
609,Marsh Harbour,BS,72.95,broken clouds,26.5412,-77.0636,Abaco Beach Resort
610,Mizque,BO,78.8,scattered clouds,-17.941,-65.3402,Hotel Mizque Boutique
612,Mocuba,MZ,72.43,light rain,-16.8392,36.9856,Phama Lodge
613,Wajid,SO,82.76,overcast clouds,3.8093,43.2471,xamdihotelresturant114
616,Marechal Candido Rondon,BR,87.26,moderate rain,-24.5561,-54.0567,Hotel Bender
620,Luis Correia,BR,86.0,few clouds,-2.8792,-41.6669,Hotel Amarração
623,Teodoro Sampaio,BR,84.18,heavy intensity rain,-22.5325,-52.1675,MINI HOTEL
624,La Primavera,CO,79.12,overcast clouds,5.4906,-70.4092,La Riviera Hotel Colonial
625,Puerto Ayacucho,VE,84.47,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
626,Kedougou,SN,84.78,clear sky,12.5579,-12.1743,Relais de Kédougou
627,Tual,ID,82.78,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
628,Kilindoni,TZ,81.61,few clouds,-7.9139,39.6668,Bustani B&B
630,Mahibadhoo,MV,80.38,overcast clouds,3.7833,72.9667,Omadhoo Inn
639,Champerico,GT,93.74,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
641,Linguere,SN,85.96,overcast clouds,15.3953,-15.1193,AYO Casablanca
647,Dingle,PH,75.7,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
651,Laplace,US,75.97,overcast clouds,30.0666,-90.4801,Hampton Inn Laplace
654,Tarakan,ID,76.5,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
655,Itapaci,BR,81.63,overcast clouds,-14.9508,-49.5494,Gold Pallace Hotel
656,Tete,MZ,75.29,broken clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
657,Misratah,LY,72.19,clear sky,32.3754,15.0925,Almasa Hotel
658,Mulchen,CL,80.46,clear sky,-37.7167,-72.2333,Hotel Los Maitenes de Villalón
660,Rio Grande,BR,73.51,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
663,Panama City,PA,83.43,scattered clouds,8.9936,-79.5197,Riande Urban Hotel
664,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
666,Iquitos,PE,87.84,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
668,Bajos De Haina,DO,80.56,scattered clouds,18.4154,-70.0332,Familia García Santana
669,Itacoatiara,BR,85.59,broken clouds,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
672,Manokwari,ID,78.33,scattered clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
674,Karratha,AU,78.85,broken clouds,-20.7377,116.8463,ibis Styles Karratha
676,Santo Estevao,BR,72.68,broken clouds,-12.4303,-39.2514,Campo Hotel
678,Necochea,AR,73.04,broken clouds,-38.5473,-58.7368,dyd -mar Hotel
681,Bage,BR,74.98,overcast clouds,-31.3314,-54.1069,Hotel Obino - Bagé
683,Barrancabermeja,CO,84.43,scattered clouds,7.0653,-73.8547,Hotel Millenium Barrancabermeja
684,Kattivakkam,IN,80.08,moderate rain,13.2167,80.3167,Euronova Freezer
685,Phan Thiet,VN,74.32,overcast clouds,10.9333,108.1,Hotel Saigon-PT
689,Pauini,BR,88.93,broken clouds,-7.7136,-66.9764,Casa do Kiwliks
696,Pointe-Noire,CG,78.33,overcast clouds,-4.7761,11.8635,Kactus Lodge
697,Guantanamo,CU,81.97,broken clouds,20.1444,-75.2092,Hotel Guantánamo
698,Morondava,MG,76.66,scattered clouds,-20.2833,44.2833,La Case Bambou
700,Puerto Quijarro,BO,91.56,overcast clouds,-17.7833,-57.7667,Hotel palance
702,Balikpapan,ID,75.11,overcast clouds,-1.2675,116.8289,ibis Balikpapan
